Japan	GK	Zion Suzuki	Parma
Japan	DF	Yukinari Sugawara	Werder Bremen
Japan	DF	Shōgo Taniguchi	Sint-Truiden
Japan	DF	Kō Itakura	Ajax
Japan	DF	Yūto Nagatomo	FC Tokyo
Japan	MF	Wataru Endo	Liverpool
Japan	MF	Ao Tanaka	Leeds United
Japan	MF	Takefusa Kubo	Real Sociedad
Japan	FW	Keisuke Gotō	Sint-Truiden
Japan	MF	Ritsu Dōan	Eintracht Frankfurt
Japan	MF	Daizen Maeda	Celtic
Japan	GK	Keisuke Ōsako	Sanfrecce Hiroshima
Japan	MF	Keito Nakamura	Reims
Japan	MF	Junya Itō	Genk
Japan	MF	Daichi Kamada	Crystal Palace
Japan	DF	Tsuyoshi Watanabe	Feyenoord
Japan	MF	Yuito Suzuki	SC Freiburg
Japan	FW	Ayase Ueda	Feyenoord
Japan	FW	Kōki Ogawa	NEC Nijmegen
Japan	DF	Ayumu Seko	Le Havre
Japan	DF	Hiroki Itō	Bayern Munich
Japan	DF	Takehiro Tomiyasu	Ajax
Japan	GK	Tomoki Hayakawa	Kashima Antlers
Japan	MF	Kaishu Sano	Mainz 05
Japan	DF	Junnosuke Suzuki	Copenhagen
Japan	FW	Kento Shiogai	VfL Wolfsburg
Netherlands	GK	Bart Verbruggen	Brighton & Hove Albion
Netherlands	DF	Jurriën Timber	Arsenal
Netherlands	MF	Marten de Roon	Atalanta
Netherlands	DF	Virgil van Dijk	Liverpool
Netherlands	DF	Nathan Aké	Manchester City
Netherlands	DF	Jan Paul van Hecke	Brighton & Hove Albion
Netherlands	MF	Justin Kluivert	Bournemouth
Netherlands	MF	Ryan Gravenberch	Liverpool
Netherlands	FW	Wout Weghorst	Ajax
Netherlands	FW	Memphis Depay	Corinthians
Netherlands	FW	Cody Gakpo	Liverpool
Netherlands	DF	Mats Wieffer	Brighton & Hove Albion
Netherlands	GK	Robin Roefs	Sunderland
Netherlands	MF	Tijjani Reijnders	Manchester City
Netherlands	DF	Micky van de Ven	Tottenham Hotspur
Netherlands	MF	Guus Til	PSV Eindhoven
Netherlands	FW	Noa Lang	Galatasaray
Netherlands	FW	Donyell Malen	Roma
Netherlands	FW	Brian Brobbey	Sunderland
Netherlands	MF	Teun Koopmeiners	Juventus
Netherlands	MF	Frenkie de Jong	Barcelona
Netherlands	DF	Denzel Dumfries	Inter Milan
Netherlands	GK	Mark Flekken	Bayer Leverkusen
Netherlands	FW	Crysencio Summerville	West Ham United
Netherlands	DF	Jorrel Hato	Chelsea
Netherlands	MF	Quinten Timber	Marseille
Sweden	GK	Jacob Widell Zetterström	Derby County
Sweden	DF	Gustaf Lagerbielke	Braga
Sweden	DF	Victor Lindelöf	Aston Villa
Sweden	DF	Isak Hien	Atalanta
Sweden	DF	Gabriel Gudmundsson	Leeds United
Sweden	DF	Herman Johansson	FC Dallas
Sweden	MF	Lucas Bergvall	Tottenham Hotspur
Sweden	DF	Daniel Svensson	Borussia Dortmund
Sweden	FW	Alexander Isak	Liverpool
Sweden	MF	Benjamin Nygren	Celtic
Sweden	FW	Anthony Elanga	Newcastle United
Sweden	GK	Viktor Johansson	Stoke City
Sweden	MF	Ken Sema	Pafos
Sweden	DF	Hjalmar Ekdal	Burnley
Sweden	DF	Carl Starfelt	Celta Vigo
Sweden	MF	Jesper Karlström	Udinese
Sweden	FW	Viktor Gyökeres	Arsenal
Sweden	MF	Yasin Ayari	Brighton & Hove Albion
Sweden	MF	Mattias Svanberg	VfL Wolfsburg
Sweden	DF	Eric Smith	FC St. Pauli
Sweden	DF	Alexander Bernhardsson	Holstein Kiel
Sweden	MF	Besfort Zeneli	Union Saint-Gilloise
Sweden	GK	Kristoffer Nordfeldt	AIK
Sweden	DF	Elliot Stroud	Mjällby AIF
Sweden	FW	Gustaf Nilsson	Club Brugge
Sweden	FW	Taha Ali	Malmö FF
Tunisia	GK	Mouhib Chamakh	Club Africain
Tunisia	DF	Ali Abdi	Nice
Tunisia	DF	Montassar Talbi	Lorient
Tunisia	DF	Omar Rekik	Maribor
Tunisia	DF	Adem Arous	Kasımpaşa
Tunisia	DF	Dylan Bronn	Servette
Tunisia	FW	Elias Achouri	Copenhagen
Tunisia	FW	Elias Saad	Hannover 96
Tunisia	FW	Hazem Mastouri	Dynamo Makhachkala
Tunisia	MF	Hannibal Mejbri	Burnley
Tunisia	MF	Ismaël Gharbi	FC Augsburg
Tunisia	DF	Mortadha Ben Ouanes	Kasımpaşa
Tunisia	MF	Rani Khedira	Union Berlin
Tunisia	MF	Khalil Ayari	Paris Saint-Germain
Tunisia	MF	Hadj Mahmoud	FC Lugano
Tunisia	GK	Aymen Dahmen	CS Sfaxien
Tunisia	MF	Ellyes Skhiri	Eintracht Frankfurt
Tunisia	FW	Rayan Elloumi	Vancouver Whitecaps
Tunisia	FW	Firas Chaouat	Club Africain
Tunisia	DF	Yan Valery	Young Boys
Tunisia	DF	Mohamed Amine Ben Hamida	Espérance de Tunis
Tunisia	GK	Sabri Ben Hessen	Étoile du Sahel
Tunisia	DF	Moutaz Neffati	IFK Norrköping
Tunisia	DF	Raed Chikhaoui	US Monastir
Tunisia	MF	Anis Ben Slimane	Norwich City
Tunisia	MF	Sebastian Tounekti	Celtic
