Czech Republic	GK	Matěj Kovář	PSV Eindhoven
Czech Republic	DF	David Zima	SK Slavia Prague
Czech Republic	DF	Tomáš Holeš	SK Slavia Prague
Czech Republic	DF	Robin Hranáč	TSG Hoffenheim
Czech Republic	DF	Vladimír Coufal	TSG Hoffenheim
Czech Republic	DF	Štěpán Chaloupek	SK Slavia Prague
Czech Republic	DF	Ladislav Krejčí	Wolverhampton Wanderers
Czech Republic	MF	Vladimír Darida	FC Hradec Králové
Czech Republic	FW	Adam Hložek	TSG Hoffenheim
Czech Republic	FW	Patrik Schick	Bayer Leverkusen
Czech Republic	FW	Jan Kuchta	AC Sparta Prague
Czech Republic	MF	Lukáš Červ	FC Viktoria Plzeň
Czech Republic	FW	Mojmír Chytil	SK Slavia Prague
Czech Republic	DF	David Jurásek	SK Slavia Prague
Czech Republic	FW	Pavel Šulc	Olympique Lyonnais
Czech Republic	GK	Jindřich Staněk	SK Slavia Prague
Czech Republic	MF	Lukáš Provod	SK Slavia Prague
Czech Republic	MF	Michal Sadílek	SK Slavia Prague
Czech Republic	FW	Tomáš Chorý	SK Slavia Prague
Czech Republic	DF	Jaroslav Zelený	AC Sparta Prague
Czech Republic	DF	David Douděra	SK Slavia Prague
Czech Republic	MF	Tomáš Souček	West Ham United
Czech Republic	GK	Lukáš Horníček	SC Braga
Czech Republic	MF	Alexandr Sojka	FC Viktoria Plzeň
Czech Republic	MF	Hugo Sochurek	AC Sparta Prague
Czech Republic	FW	Denis Višinský	FC Viktoria Plzeň
Mexico	GK	Raúl Rangel	Guadalajara
Mexico	DF	Jorge Sánchez	PAOK
Mexico	DF	César Montes	Lokomotiv Moscow
Mexico	DF	Edson Álvarez	Fenerbahçe
Mexico	DF	Johan Vásquez	Genoa
Mexico	MF	Érik Lira	Cruz Azul
Mexico	MF	Luis Romo	Guadalajara
Mexico	MF	Álvaro Fidalgo	Real Betis
Mexico	FW	Raúl Jiménez	Fulham
Mexico	FW	Alexis Vega	Toluca
Mexico	FW	Santiago Giménez	Milan
Mexico	GK	Carlos Acevedo	Santos Laguna
Mexico	GK	Guillermo Ochoa	AEL Limassol
Mexico	FW	Armando González	Guadalajara
Mexico	DF	Israel Reyes	América
Mexico	FW	Julián Quiñones	Al-Qadsiah
Mexico	MF	Orbelin Pineda	AEK Athens
Mexico	MF	Obed Vargas	Atlético Madrid
Mexico	MF	Gilberto Mora	Tijuana
Mexico	DF	Mateo Chávez	AZ
Mexico	FW	César Huerta	Anderlecht
Mexico	FW	Guillermo Martínez	Pumas
Mexico	DF	Jesús Gallardo	Toluca
Mexico	MF	Luis Chávez	Dynamo Moscow
Mexico	FW	Roberto Alvarado	Guadalajara
Mexico	MF	Brian Gutiérrez	Guadalajara
South Africa	GK	Ronwen Williams	Mamelodi Sundowns
South Africa	DF	Thabang Matuludi	Polokwane City
South Africa	DF	Khulumani Ndamane	Mamelodi Sundowns
South Africa	MF	Teboho Mokoena	Mamelodi Sundowns
South Africa	MF	Thalente Mbatha	Orlando Pirates
South Africa	DF	Aubrey Modiba	Mamelodi Sundowns
South Africa	FW	Oswin Appollis	Orlando Pirates
South Africa	FW	Tshepang Moremi	Orlando Pirates
South Africa	FW	Lyle Foster	Burnley
South Africa	FW	Relebohile Mofokeng	Orlando Pirates
South Africa	MF	Themba Zwane	Mamelodi Sundowns
South Africa	FW	Thapelo Maseko	AEL Limassol
South Africa	MF	Sphephelo Sithole	Tondela
South Africa	DF	Mbekezeli Mbokazi	Chicago Fire
South Africa	FW	Iqraam Rayners	Mamelodi Sundowns
South Africa	GK	Sipho Chaine	Orlando Pirates
South Africa	FW	Evidence Makgopa	Orlando Pirates
South Africa	DF	Samukele Kabini	Molde
South Africa	DF	Nkosinathi Sibisi	Orlando Pirates
South Africa	DF	Khuliso Mudau	Mamelodi Sundowns
South Africa	DF	Ime Okon	Hannover 96
South Africa	GK	Ricardo Goss	Siwelele
South Africa	MF	Jayden Adams	Mamelodi Sundowns
South Africa	DF	Olwethu Makhanya	Philadelphia Union
South Africa	FW	Kamogelo Sebelebele	Orlando Pirates
South Africa	DF	Bradley Cross	Kaizer Chiefs
South Korea	GK	Kim Seung-gyu	FC Tokyo
South Korea	DF	Lee Han-beom	Midtjylland
South Korea	MF	Lee Gi-hyuk	Gangwon FC
South Korea	DF	Kim Min-jae	Bayern Munich
South Korea	DF	Kim Tae-hyeon	Kashima Antlers
South Korea	MF	Hwang In-beom	Feyenoord
South Korea	FW	Son Heung-min	Los Angeles FC
South Korea	MF	Paik Seung-ho	Birmingham City
South Korea	FW	Cho Gue-sung	Midtjylland
South Korea	MF	Lee Jae-sung	Mainz 05
South Korea	MF	Hwang Hee-chan	Wolverhampton Wanderers
South Korea	GK	Song Bum-keun	Jeonbuk Hyundai Motors
South Korea	DF	Lee Tae-seok	Austria Wien
South Korea	DF	Cho Wi-je	Jeonbuk Hyundai Motors
South Korea	DF	Kim Moon-hwan	Daejeon Hana Citizen
South Korea	DF	Park Jin-seob	Zhejiang
South Korea	MF	Bae Jun-ho	Stoke City
South Korea	FW	Oh Hyeon-gyu	Besiktas
South Korea	MF	Lee Kang-in	Paris Saint-Germain
South Korea	MF	Yang Hyun-jun	Celtic
South Korea	GK	Jo Hyeon-woo	Ulsan HD
South Korea	DF	Seol Young-woo	Red Star Belgrade
South Korea	DF	Jens Castrop	Borussia Mönchengladbach
South Korea	MF	Kim Jin-gyu	Jeonbuk Hyundai Motors
South Korea	MF	Eom Ji-sung	Swansea City
South Korea	MF	Lee Dong-gyeong	Ulsan HD
